,Date
589,25/01/2020
590,25/01/2020
591,25/01/2020
592,25/01/2020
593,25/01/2020
594,25/01/2020
595,25/01/2020
596,25/01/2020
597,25/01/2020
598,25/01/2020
599,25/01/2020
600,26/01/2020
601,26/01/2020
602,26/01/2020
603,26/01/2020
604,26/01/2020
605,26/01/2020
606,26/01/2020
607,26/01/2020
608,26/01/2020
609,26/01/2020
610,26/01/2020
611,26/01/2020
612,26/01/2020
613,26/01/2020
614,26/01/2020
615,26/01/2020
616,26/01/2020
617,26/01/2020
618,26/01/2020
619,26/01/2020
620,26/01/2020
621,26/01/2020
622,26/01/2020
623,26/01/2020
624,27/01/2020
625,27/01/2020
626,27/01/2020
627,27/01/2020
628,27/01/2020
629,27/01/2020
630,27/01/2020
631,27/01/2020
632,27/01/2020
633,27/01/2020
634,27/01/2020
635,27/01/2020
636,27/01/2020
637,27/01/2020
638,27/01/2020
639,27/01/2020
640,27/01/2020
641,27/01/2020
642,27/01/2020
643,27/01/2020
644,27/01/2020
645,27/01/2020
646,27/01/2020
647,27/01/2020
648,28/01/2020
649,28/01/2020
650,28/01/2020
651,28/01/2020
652,28/01/2020
653,28/01/2020
654,28/01/2020
655,28/01/2020
656,28/01/2020
657,28/01/2020
658,28/01/2020
659,28/01/2020
660,28/01/2020
661,28/01/2020
662,28/01/2020
663,28/01/2020
664,28/01/2020
665,28/01/2020
666,28/01/2020
667,28/01/2020
668,28/01/2020
669,28/01/2020
670,28/01/2020
671,28/01/2020
672,29/01/2020
673,29/01/2020
674,29/01/2020
675,29/01/2020
676,29/01/2020
677,29/01/2020
678,29/01/2020
679,29/01/2020
680,29/01/2020
681,29/01/2020
682,29/01/2020
683,29/01/2020
684,29/01/2020
685,29/01/2020
686,29/01/2020
687,29/01/2020
688,29/01/2020
689,29/01/2020
690,29/01/2020
691,29/01/2020
692,29/01/2020
693,29/01/2020
694,29/01/2020
695,29/01/2020
696,30/01/2020
697,30/01/2020
698,30/01/2020
699,30/01/2020
700,30/01/2020
701,30/01/2020
702,30/01/2020
703,30/01/2020
704,30/01/2020
705,30/01/2020
706,30/01/2020
707,30/01/2020
708,30/01/2020
709,30/01/2020
710,30/01/2020
711,30/01/2020
712,30/01/2020
713,30/01/2020
714,30/01/2020
715,30/01/2020
716,30/01/2020
717,30/01/2020
718,30/01/2020
719,30/01/2020
720,31/01/2020
721,31/01/2020
722,31/01/2020
723,31/01/2020
724,31/01/2020
725,31/01/2020
726,31/01/2020
727,31/01/2020
728,31/01/2020
729,31/01/2020
730,31/01/2020
731,31/01/2020
732,31/01/2020
733,31/01/2020
734,31/01/2020
735,31/01/2020
736,31/01/2020
737,31/01/2020
738,31/01/2020
739,31/01/2020
740,31/01/2020
741,31/01/2020
742,31/01/2020
743,31/01/2020
744,01/02/2020
745,01/02/2020
746,01/02/2020
747,01/02/2020
748,01/02/2020
749,01/02/2020
750,01/02/2020
751,01/02/2020
752,01/02/2020
753,01/02/2020
754,01/02/2020
755,01/02/2020
756,01/02/2020
757,01/02/2020
758,01/02/2020
759,01/02/2020
760,01/02/2020
761,01/02/2020
762,01/02/2020
763,01/02/2020
764,01/02/2020
765,01/02/2020
766,01/02/2020
767,01/02/2020
768,02/02/2020
769,02/02/2020
770,02/02/2020
771,02/02/2020
772,02/02/2020
773,02/02/2020
774,02/02/2020
775,02/02/2020
776,02/02/2020
777,02/02/2020
778,02/02/2020
779,02/02/2020
780,02/02/2020
781,02/02/2020
782,02/02/2020
783,02/02/2020
784,02/02/2020
785,02/02/2020
786,02/02/2020
787,02/02/2020
788,02/02/2020
789,02/02/2020
790,02/02/2020
791,02/02/2020
792,03/02/2020
793,03/02/2020
794,03/02/2020
795,03/02/2020
796,03/02/2020
797,03/02/2020
798,03/02/2020
799,03/02/2020
800,03/02/2020
801,03/02/2020
802,03/02/2020
803,03/02/2020
804,03/02/2020
805,03/02/2020
806,03/02/2020
807,03/02/2020
808,03/02/2020
809,03/02/2020
810,03/02/2020
811,03/02/2020
812,03/02/2020
813,03/02/2020
814,03/02/2020
815,03/02/2020
816,04/02/2020
817,04/02/2020
818,04/02/2020
819,04/02/2020
820,04/02/2020
821,04/02/2020
822,04/02/2020
823,04/02/2020
824,04/02/2020
825,04/02/2020
826,04/02/2020
827,04/02/2020
828,04/02/2020
829,04/02/2020
830,04/02/2020
831,04/02/2020
832,04/02/2020
833,04/02/2020
834,04/02/2020
835,04/02/2020
836,04/02/2020
837,04/02/2020
838,04/02/2020
839,04/02/2020
840,05/02/2020
841,05/02/2020
842,05/02/2020
843,05/02/2020
844,05/02/2020
845,05/02/2020
846,05/02/2020
847,05/02/2020
848,05/02/2020
849,05/02/2020
850,05/02/2020
851,05/02/2020
852,05/02/2020
853,05/02/2020
854,05/02/2020
855,05/02/2020
856,05/02/2020
857,05/02/2020
858,05/02/2020
859,05/02/2020
860,05/02/2020
861,05/02/2020
862,05/02/2020
863,05/02/2020
864,06/02/2020
865,06/02/2020
866,06/02/2020
867,06/02/2020
868,06/02/2020
869,06/02/2020
870,06/02/2020
871,06/02/2020
872,06/02/2020
873,06/02/2020
874,06/02/2020
875,06/02/2020
876,06/02/2020
877,06/02/2020
878,06/02/2020
879,06/02/2020
880,06/02/2020
881,06/02/2020
882,06/02/2020
883,06/02/2020
884,06/02/2020
885,06/02/2020
886,06/02/2020
887,06/02/2020
888,07/02/2020
889,07/02/2020
890,07/02/2020
